January 	1 	In 1959, Fidel Castro led Cuban revolutionaries to victory over Fulgencio Batista.
August 	23 	In 1927, Italian-born anarchists Nicola Sacco and Bartolomeo Vanzetti were executed in Boston for the murders of two men during a 1920 robbery. They were vindicated in 1977 by Massachusetts Gov. Michael S. Dukakis.
August 	24 	In 1992, Hurricane Andrew smashed into Florida, causing record damage; 55 deaths in Florida, Louisiana and the Bahamas were blamed on the storm.
August 	25 	In 1944, Paris was liberated by Allied forces after four years of Nazi occupation.
August 	26 	In 1920, the 19th Amendment to the United States Constitution, guaranteeing American women the right to vote, was declared in effect.
August 	27 	In 1962, the United States launched the Mariner 2 space probe, which flew past Venus the following December.
August 	28 	In 1963, 200,000 people participated in a peaceful civil rights rally in Washington, D.C., where Dr. Martin Luther King Jr. delivered his “I Have a Dream” speech in front of the Lincoln Memorial.
August 	29 	In 1991, the Supreme Soviet, the parliament of the U.S.S.R., suspended all activities of the Communist Party, bringing an end to the institution.
August 	30 	In 2005, Hurricane Katrina struck the Gulf Coast with devastating force, killing more than 1,700 people and flooding New Orleans after the city’s levees failed.
August 	31 	In 1997, Diana, the Princess of Wales, was killed in an automobile accident in a tunnel by the Seine in Paris. The accident also killed Emad Mohammed al-Fayed, the Harrod’s heir.
September
September 	1 	In 1939, World War II began as Nazi Germany invaded Poland.
September 	2 	In 1945, Japan formally surrendered in ceremonies aboard the USS Missouri, ending World War II.
September 	3 	In 1976, the unmanned U.S. spacecraft Viking 2 landed on Mars to take the first close-up, color photographs of the planet’s surface.
September 	4 	In 1957, Arkansas Gov. Orval Faubus called out the National Guard to prevent nine black students from entering Central High School in Little Rock.
September 	5 	In 1972, Arab terrorists attacked the Israeli delegation at the Munich Olympic games; 11 Israelis, five guerrillas and a police officer were killed in the siege.
September 	6 	In 1901, President McKinley was shot and mortally wounded by anarchist Leon Czolgosz at the Pan-American Exposition in Buffalo, N.Y.
September 	7 	In 1940, Nazi Germany began its initial blitz on London during World War II.
September 	8 	In 1974, President Ford granted an unconditional pardon to former President Nixon.
September 	9 	In 1976, Communist Chinese leader Mao Tse-tung died in Beijing at age 82.
September 	10 	In 1919, New York City welcomed home Gen. John J. Pershing and 25,000 soldiers who had served in the United States 1st Division during World War I.
September 	11 	In 2001, suicide hijackers crashed two airliners into the World Trade Center in New York, causing the 110-story twin towers to collapse. Another hijacked airliner hit the Pentagon and a fourth crashed in a field in Pennsylvania.
September 	12 	In 1977, South African black student leader Steven Biko died while in police custody, triggering an international outcry.
September 	13 	In 1993, at the White House, Israeli Prime Minister Yitzhak Rabin and PLO chairman Yasser Arafat shook hands after signing an accord granting limited Palestinian autonomy.
September 	14 	In 1959, the Soviet space probe Luna 2 became the first man-made object to reach the moon as it crashed onto the lunar surface.
September 	15 	In 1963, four children were killed when a bomb went off during Sunday services at a black Baptist church in Birmingham, Alabama.
September 	16 	In 1974, President Ford announced a conditional amnesty program for Vietnam War deserters and draft evaders.
September 	17 	In 1862, Union forces hurled back a Confederate invasion of Maryland in the Civil War Battle of Antietam. During the battle, 23,100 were killed, wounded or captured, making it the bloodiest day in United States military history.
September 	18 	In 1947, the National Security Act, which unified the Army, Navy and newly formed Air Force, went into effect.
September 	19 	In 1881, the 20th president of the United States, James A. Garfield, died of wounds inflicted by an assassin.
September 	20 	In 1973, Billie Jean King defeated Bobby Riggs in straight sets 6-4, 6-3, 6-3 in a $100,000 winner-take-all tennis match.
September 	21 	In 1938, a hurricane struck parts of New York and New England, causing widespread damage and claiming more than 600 lives.
September 	22 	In 1862, President Lincoln issued the preliminary Emancipation Proclamation, declaring all slaves in rebel states should be free as of Jan. 1, 1863.
September 	23 	In 1952, Republican vice-presidential candidate Richard M. Nixon went on television to deliver what came to be known as the “Checkers” speech as he denied allegations of improper campaign financing.
September 	24 	In 1996, the United States and the world’s other major nuclear powers signed a treaty to end all testing and development of nuclear weapons.
September 	25 	In 1957, with 300 United States Army troops standing guard, nine black children were escorted to Central High School in Little Rock, Arkansas, days after unruly white crowds had forced them to withdraw.
September 	26 	In 1960, the first televised debate between presidential candidates Richard M. Nixon and John F. Kennedy took place in Chicago.
September 	27 	In 1964, the Warren Commission issued a report concluding that Lee Harvey Oswald had acted alone in assassinating President Kennedy.
September 	28 	In 1924, two United States Army planes landed in Seattle, Washington, having completed the first round-the-world flight in 175 days.
September 	29 	In 1957, the New York Giants played their last game at the Polo Grounds, losing to the Pittsburgh Pirates 9-1. The Giants moved to San Francisco for the next season.
September 	30 	In 1938, British and French leaders agreed to allow Nazi Germany to occupy sections of the Sudeten region of Czechoslovakia.
October
October 	1 	In 1961, Roger Maris of the New York Yankees hit his 61st home run of the season, breaking Babe Ruth’s record of 60 set in 1927.
October 	2 	In 1967, Thurgood Marshall was sworn in as an associate justice of the United States Supreme Court; he was the first African-American appointed to the nation’s highest court.
October 	3 	In 1990, West Germany and East Germany ended 45 years of postwar division, declaring the creation of a new unified country.
October 	4 	In 1957, the Space Age began as the Soviet Union launched Sputnik, the first man-made satellite, into orbit.
October 	5 	In 1947, in the first televised White House address, President Truman asked Americans to refrain from eating meat on Tuesdays and poultry on Thursdays to help stockpile grain for starving people in Europe.
October 	6 	In 1981, Egyptian President Anwar Sadat was shot to death by extremists while reviewing a military parade.
October 	7 	In 1985, Palestinian gunmen hijacked the Italian cruise ship Achille Lauro in the Mediterranean with more than 400 people aboard.
October 	8 	In 1982, all labor organizations in Poland, including Solidarity, were banned.
October 	9 	In 1967, Latin American guerrilla leader Che Guevara was executed in Bolivia while attempting to incite revolution.
October 	10 	In 1973, Vice President Spiro T. Agnew pleaded no contest to one count of federal income tax evasion and resigned his office.
October 	11 	In 1968, Apollo 7, the first manned Apollo mission, was launched with astronauts Wally Schirra, Donn Fulton Eisele and R. Walter Cunningham aboard.
October 	12 	In 2000, the Navy destroyer Cole was attacked in an al-Qaeda suicide bombing while in port in Aden, Yemen, killing 17 sailors and injuring dozens more.
October 	13 	In 1943, Italy declared war on Germany, its one-time Axis partner.
October 	14 	In 1964, civil rights leader Martin Luther King Jr. was named winner of the Nobel Peace Prize.
October 	15 	In 1964, it was announced that Soviet leader Nikita S. Khrushchev had been removed from office. He was succeeded as premier by Alexei N. Kosygin and as Communist Party secretary by Leonid I. Brezhnev.
October 	16 	In 1964, China detonated its first atomic bomb.
October 	17 	In 1931, mobster Al Capone was convicted of income tax evasion and sentenced to 11 years in prison. He was released in 1939.
October 	18 	In 1968, the United States Olympic Committee suspended two black athletes, Tommie Smith and John Carlos, for giving a “black power” salute as a protest during a victory ceremony in Mexico City.
October 	19 	In 1987, the stock market crashed as the Dow Jones Industrial Average plunged 508 points, or 22.6 percent in value – its biggest-ever percentage drop.
October 	20 	In 1973, in the so-called Saturday Night Massacre, President Nixon abolished the office of special Watergate prosecutor Archibald Cox, accepted the resignation of Attorney General Elliot L. Richardson and fired Deputy Attorney General William B. Ruckelshaus.
October 	21 	In 1879, Thomas Edison invented a workable electric light at his laboratory in Menlo Park, N.J.
October 	22 	In 1962, President Kennedy announced an air and naval blockade of Cuba, following the discovery of Soviet missile bases on the island.
October 	23 	In 1983, a suicide truck-bombing at Beirut International Airport in Lebanon killed 241 United States Marines and sailors; a near-simultaneous attack on French forces killed 58 paratroopers.
October 	24 	In 1945, the United Nations officially came into existence as its charter took effect.
October 	25 	In 1971, the United Nations General Assembly voted to admit mainland China and expel Taiwan.
October 	26 	In 1994, Prime Minister Yitzhak Rabin of Israel and Prime Minister Abdel Salam Majali of Jordan signed a peace treaty in a ceremony attended by President Clinton.
October 	27 	In 1904, the first rapid transit subway, the IRT, opened in New York City.
October 	28 	In 1886, the Statue of Liberty, a gift from the people of France, was dedicated in New York Harbor by President Cleveland.
October 	29 	In 1929, Black Tuesday descended upon the New York Stock Exchange. Prices collapsed amid panic selling and thousands of investors were wiped out as America’s Great Depression began.
October 	30 	In 1974, Muhammad Ali knocked out George Foreman in the eighth round of a 15-round bout in Kinshasa, Zaire, to regain his world heavyweight title.
October 	31 	In 1984, Indian Prime Minister Indira Gandhi was assassinated near her residence by two Sikh security guards.
November
November 	1 	In 1952, the United States exploded the first hydrogen bomb, in a test at Eniwetok in the Marshall Islands.
November 	2 	In 1976, former Georgia Gov. Jimmy Carter defeated Republican incumbent Gerald R. Ford, becoming the first U.S. president from the Deep South since the Civil War.
November 	3 	In 1936, President Roosevelt was re-elected in a landslide over Republican challenger Alfred M. “Alf” Landon.
November 	4 	In 2008, Barack Hussein Obama was elected the 44th president of the United States, as the country chose him as its first black chief executive.
November 	5 	In 1968, Republican Richard M. Nixon won the presidency, defeating Vice President Hubert H. Humphrey and third-party candidate George C. Wallace.
November 	6 	In 1860, former Illinois congressman Abraham Lincoln defeated three other candidates for the United States presidency.
November 	7 	In 1917, Russia’s Bolshevik Revolution took place as forces led by Vladimir Ilyich Lenin overthrew the provisional government of Alexander Kerensky.
November 	8 	In 1960, Massachusetts Senator John F. Kennedy defeated Vice President Richard M. Nixon for the presidency.
November 	9 	In 1989, East Germany lifted restrictions on emigration or travel to the West, and within hours tens of thousands of East and West Berliners swarmed across the infamous Berlin Wall for a boisterous celebration.
November 	10 	In 1982, the newly finished Vietnam Veterans Memorial was opened to its first visitors in Washington, D.C.
November 	11 	In 1918, fighting in World War I came to an end with the signing of an armistice between the Allies and Germany.
November 	12 	In 1942, the World War II naval Battle of Guadalcanal began. The Americans eventually won a major victory over the Japanese.
November 	13 	In 1956, the Supreme Court struck down laws calling for racial segregation on public buses.
November 	14 	In 1972, the Dow Jones Industrial Average closed above 1,000 for the first time, ending the day at 1,003.16.
November 	15 	In 1969, a quarter of a million protesters staged a peaceful demonstration in Washington, D.C., against the Vietnam War.
November 	16 	In 1933, the United States and the Soviet Union established diplomatic relations. President Roosevelt sent a telegram to Soviet leader Maxim Litvinov, expressing hope that United States-Soviet relations would “forever remain normal and friendly.”
November 	17 	In 1973, President Nixon told an Associated Press managing editors meeting in Orlando, Fla., that “people have got to know whether or not their president is a crook. Well, I’m not a crook.”
November 	18 	In 1976, Spain’s parliament approved a bill to establish a democracy after 37 years of dictatorship.
November 	19 	In 1863, President Lincoln delivered the Gettysburg Address as he dedicated a national cemetery at the site of the Civil War battlefield in Pennsylvania.
November 	20 	In 1945, 24 Nazi leaders went on trial before an international war crimes tribunal in Nuremberg, Germany.
November 	21 	In 1995, the presidents of three rival Balkan states agreed to make peace in Bosnia, ending nearly four years of terror and ethnic bloodletting that have left a quarter of a million people dead in the worst war in Europe since World War II.
November 	22 	In 1963, President Kennedy was assassinated while riding in a motorcade in Dallas. Texas Gov. John B. Connally was seriously wounded. A suspect, Lee Harvey Oswald, was arrested. Vice President Lyndon B. Johnson became the 36th president of the United States.
November 	23 	In 1943, during World War II, United States forces seized control of the Tarawa and Makin atolls from the Japanese.
November 	24 	In 1963, Jack Ruby shot and mortally wounded Lee Harvey Oswald, the accused assassin of President Kennedy.
November 	25 	In 1986, the Iran-Contra affair erupted as President Reagan and Attorney General Edwin Meese revealed that profits from secret arms sales to Iran had been diverted to Nicaraguan rebels.
November 	26 	In 1942, President Roosevelt ordered nationwide gasoline rationing, beginning December 1.
November 	27 	In 1973, the Senate voted 92-3 to confirm Gerald R. Ford as vice president, succeeding Spiro T. Agnew, who’d resigned.
November 	28 	In 1943, President Roosevelt, British Prime Minister Winston Churchill and Soviet leader Josef Stalin met in Tehran during World War II.
November 	29 	In 1947, the U.N. General Assembly passed a resolution calling for the partitioning of Palestine between Arabs and Jews.
November 	30 	In 1995, President Clinton became the first U.S. chief executive to visit Northern Ireland.
December
December 	1 	In 1959, representatives of 12 countries, including the United States, signed a treaty in Washington setting aside Antarctica as a scientific preserve, free from military activity.
December 	2 	In 1954, the Senate voted to condemn Sen. Joseph R. McCarthy, R Wis., for “conduct that tends to bring the Senate into dishonor and disrepute.”
December 	3 	In 1984, more than 4,000 people died after a cloud of gas escaped from a pesticide plant operated by a Union Carbide subsidiary in Bhopal, India.
December 	4 	In 1945, the Senate approved United States participation in the United Nations.
December 	5 	In 1933, national Prohibition came to an end as Utah became the 36th state to ratify the 21st Amendment to the Constitution, repealing the 18th Amendment.
December 	6 	In 1923, a presidential address was broadcast on radio for the first time as President Coolidge spoke to a joint session of Congress.
December 	7 	In 1941, Japanese warplanes attacked the home base of the United States Pacific fleet at Pearl Harbor, an act that led to America’s entry into World War II.
December 	8 	In 1941, the United States entered World War II as Congress declared war against Japan, a day after the attack on Pearl Harbor.
December 	9 	In 2000, the United States Supreme Court voted, 5 to 4, to stop the vote counting in Florida, ending Vice President Al Gore’s presidential hopes.
December 	10 	In 1948, the U.N. General Assembly adopted its Universal Declaration on Human Rights.
December 	11 	In 1941, Germany and Italy declared war on the United States; the U.S. responded in kind.
December 	12 	In 1963, Kenya gained its independence from Britain.
December 	13 	In 1981, authorities in Poland imposed martial law in a crackdown on the Solidarity labor movement. Martial law formally ended in 1983.
December 	14 	In 1981, Israel annexed the Golan Heights, seized from Syria in 1967.
December 	15 	In 1916, the French defeated the Germans in the World War I Battle of Verdun.
December 	16 	In 1950, President Truman proclaimed a national state of emergency in order to fight “Communist imperialism.”
December 	17 	In 1903, Orville and Wilbur Wright took the first successful man-powered airplane flights, near Kitty Hawk, North Carolina.
December 	18 	In 1957, the Shippingport Atomic Power Station in Pennsylvania, the first civilian nuclear facility to generate electricity in the United States, went online.
December 	19 	In 1998, President Bill Clinton was impeached on charges of perjury and obstruction of justice by a divided House of Representatives, which recommended virtually along party lines that the Senate remove the nation’s 42d President from office.
December 	20 	In 1989, the United States launched Operation Just Cause, sending troops into Panama to topple the government of General Manuel Noriega.
December 	21 	In 1988, a terrorist bomb exploded aboard a Pan Am Boeing 747 over Lockerbie, Scotland, killing 270 people.
December 	22 	In 1864, during the Civil War, Union Gen. William T. Sherman sent a message to President Lincoln from Georgia, saying, “I beg to present you as a Christmas gift the city of Savannah.”
December 	23 	In 1986, the experimental airplane Voyager, piloted by Dick Rutan and Jeana Yeager, completed the first non-stop, around-the-world flight without refueling as it landed safely at Edwards Air Force Base in California.
December 	24 	In 1992, President Bush pardoned former Defense Secretary Caspar Weinberger and five others in the Iran-Contra scandal.
December 	25 	In 1991, Soviet President Mikhail S. Gorbachev went on television to announce his resignation.
December 	26 	In 2004, the world’s most powerful earthquake in 40 years erupted underwater off the Indonesian island of Sumatra and sent walls of water barreling thousands of miles, killing more than 200,000 people in half a dozen countries across South and Southeast Asia.
December 	27 	In 1979, Soviet forces seized control of Afghanistan. President Hafizullah Amin, who was overthrown and executed, was replaced by Babrak Karmal.
December 	28 	In 1981, Elizabeth Jordan Carr, the first American test-tube baby, was born in Norfolk, Va.
December 	29 	In 1940, during World War II, Germany began dropping incendiary bombs on London.
December 	30 	In 1972, the United States halted its heavy bombing of North Vietnam.
December 	31 	In 1946, President Truman officially proclaimed the end of hostilities in World War II.
